8
9, 6
9, 7
9, 8
9, 6
9, 7
10, 6
10, 7
9, 7
9, 8
10, 6
10, 7
11, 6
11, 7
11, 6
11, 7
12, 6
12, 7
12, 6
12, 7
13, 6
13, 7
11, 6
11, 7
12, 6
12, 7
10, 6
10, 7
11, 6
11, 7
11, 6
11, 7
12, 6
12, 7
12, 6
12, 7
13, 6
13, 7
13, 6
13, 7
14, 6
14, 7
12, 6
12, 7
13, 6
13, 7
13, 6
13, 7
14, 6
14, 7
14, 6
14, 7
15, 6
15, 7
13, 6
13, 7
14, 6
14, 7
12, 6
12, 7
13, 6
13, 7
11, 6
11, 7
12, 6
12, 7
12, 6
12, 7
13, 6
13, 7
11, 6
11, 7
12, 6
12, 7
10, 6
10, 7
11, 6
11, 7
9, 6
9, 7
10, 6
10, 7
8, 6
8, 7
9, 6
9, 7
7, 6
7, 7
8, 6
8, 7
8, 6
8, 7
9, 6
9, 7
9, 6
9, 7
10, 6
10, 7
10, 6
10, 7
11, 6
11, 7
10, 7
10, 8
10, 5
10, 6
11, 5
11, 6
10, 4
10, 5
11, 4
11, 5
10, 5
10, 6
11, 5
11, 6
10, 6
10, 7
11, 6
11, 7
11, 6
11, 7
12, 6
12, 7
12, 6
12, 7
13, 6
13, 7
13, 6
13, 7
14, 6
14, 7
12, 6
12, 7
13, 6
13, 7
